# Time-averaged data for fix 4
# TimeStep f_hot1 f_cold1 c_block1_temp c_block2_temp c_block3_temp c_block4_temp c_block5_temp c_block6_temp c_block7_temp c_block8_temp c_block9_temp c_block10_temp
171000 -226.749 241.738 263.304 271.894 284.147 290.538 287.857 306.032 310.855 320.495 318.695 333.64
172000 -229.444 241.922 263.454 272.11 284.664 290.61 287.918 305.311 309.684 321.308 318.529 335.048
173000 -228.65 243.52 262.719 272.344 284.205 290.952 288.563 304.555 308.68 320.619 319.442 334.953
174000 -228.001 243.908 261.938 273.3 283.39 292.1 289.072 304.168 307.685 320.472 320.546 334.076
175000 -231.083 244.909 262.86 272.265 284.548 290.917 290.849 302.231 308.636 319.085 320.62 336.606
176000 -233.274 246.018 264.063 271.576 284.512 289.603 292.788 301.948 308.397 318.78 322.241 336.633
177000 -235.814 247.408 264.205 271.533 286.029 286.959 295.301 301.142 309.209 317.739 322.26 336.962
178000 -235.768 246.742 264.521 271.231 285.894 286.293 296.92 299.808 309.735 317.276 322.034 335.725
179000 -234.661 250.486 264.847 270.38 285.69 287.288 296.331 300.881 309.426 316.341 322.935 335.429
180000 -237.256 248.92 264.445 271.716 283.665 289.573 293.117 302.48 308.177 316.122 325.157 334.463
181000 -238.359 249.197 264.451 272.493 282.79 291.087 291.809 302.262 308.07 317.079 325.268 334.268
182000 -239.875 252.919 264.309 271.636 283.148 291.292 290.51 302.605 308.652 316.855 325.244 335.451
183000 -242.997 252.72 263.587 271.99 284.248 289.943 292.077 301.711 308.891 316.458 324.584 336.46
184000 -245.363 255.377 263.384 272.165 284.569 289.28 292.889 300.964 309.767 315.954 325.21 336.791
185000 -246.563 256.327 263.81 272.101 284.282 289.501 292.75 301.734 308 316.664 324.933 337.878
186000 -248.022 257.633 263.874 271.425 285.093 289.019 292.745 301.303 306.815 317.969 324.985 337.246
187000 -245.823 258.489 264.678 269.852 285.674 289.818 291.207 301.079 306.344 318.756 324.868 337.219
188000 -247.554 258.612 264.21 270.209 286.013 288.566 293.124 300.125 305.681 318.485 326.393 335.338
189000 -245.419 261.966 264.104 269.872 285.972 288.394 293.188 300.197 307.94 315.861 328.042 332.662
190000 -246.007 262.206 262.782 270.103 285.785 289.074 292.915 300.936 307.743 315.019 327.264 332.7
191000 -243.893 264.782 261.667 271.15 285.046 289.262 294.025 300.134 308.199 314.691 325.148 333.578
192000 -245.406 265.095 262.64 271.488 283.207 289.02 295.365 300.571 307.739 313.47 325.965 334.151
193000 -246.98 266.292 262.51 271.696 281.696 290.397 294.857 301.337 306.983 313.939 324.009 334.915
194000 -246.238 267.288 262.943 271.893 280.676 290.215 295.542 301.912 306.229 313.268 325.565 331.024
195000 -245.383 269.494 261.827 272.655 278.694 290.991 297.252 300.719 305.582 313.854 325.346 330.836
196000 -245.964 270.749 261.838 273.866 277.015 291.764 298.049 299.278 305.844 314.795 324.953 331.076
197000 -247.849 272.104 261.361 271.966 278.612 291.165 298.452 299.519 305.557 314.589 324.354 331.966
198000 -249.921 273.621 261.846 271.465 279.522 289.116 299.612 299.424 306.467 314.163 323.775 333.534
199000 -250.217 273.29 261.824 270.911 279.97 289.292 298.363 299.504 307.364 314.321 323.86 333.578
200000 -251.589 273.233 262.46 270.412 279.365 290.375 297.852 298.205 308.614 314.075 323.401 334.422
201000 -253.66 275.237 262.248 270.98 278.432 291.338 297.295 298.106 310.006 313.161 325.295 333.177
202000 -253.516 277.109 262.84 270.901 278.786 290.377 296.45 299.501 310.366 311.973 326.879 332.141
203000 -254.364 276.526 262.219 271.969 278.139 290.488 296.318 299.009 311.039 313.055 327.215 331.371
204000 -255.431 277.576 261.762 271.744 278.257 290.452 296.607 297.555 312.436 313.017 325.766 332.168
205000 -255.221 279.192 260.09 272.817 278.674 291.125 296.518 297.464 312.002 313.325 325.357 331.896
206000 -259.096 280.598 259.88 274.453 278.237 291.267 295.188 298.349 311.3 313.087 324.622 333.721
207000 -259.684 278.356 260.838 274.679 277.648 292.043 295.701 298.645 309.446 313.758 323.617 335.741
208000 -261.628 281.009 261.711 273.788 277.598 292.565 296.006 298.908 308.291 314.321 322.023 336.969
209000 -262.173 282.151 261.335 273.177 278.111 292.359 296.767 299.173 307.617 313.758 324.22 336.383
210000 -262.805 284.239 260.305 271.467 280.323 289.986 298.056 298.711 308.692 313.042 323.462 337.107
211000 -264.773 284.887 260.188 271.45 281.456 289.866 296.989 299.421 308.251 314.541 320.708 338.266
212000 -266.996 285.26 261.42 271.285 281.927 289.226 296.688 299.288 308.177 316.357 319.003 339.919
213000 -266.672 286.547 260.231 272.446 282.645 287.711 296.77 299.308 308.173 317.712 318.298 339.309
214000 -266.818 286.86 261.163 270.955 283.796 287.233 297.062 299.171 308.139 317.425 319.008 337.794
215000 -268.385 287.803 261.917 270.302 284.494 287.478 296.287 299.642 307.333 316.363 321.268 336.998
216000 -268.108 288.657 262.57 271.082 282.808 288.067 295.133 300.941 307.957 316.804 319.437 337.871
217000 -267.942 288.245 263.793 271.349 280.741 288.058 295.269 300.46 307.764 317.815 319.502 337.158
218000 -268.461 291.603 262.197 271.967 279.666 289.412 294.484 300.265 308.176 316.95 320.54 337.307
219000 -272.239 294.804 260.931 271.987 279.637 289.113 295.43 300.06 308.753 316.031 319.991 339.252
220000 -272.43 294.913 260.397 272.666 278.88 289.234 295.272 300.483 308.685 314.869 321.543 338.402
221000 -273.645 293.911 261.45 272.468 278.584 288.642 296.286 301.056 307.544 315.886 321.965 337.138
222000 -273.994 296.949 261.58 271.31 280.723 286.665 296.385 300.136 307.655 315.58 324.511 336.014
223000 -276.645 298.564 261.604 271.592 279.74 286.245 295.605 302.003 306.963 315.16 325.005 337.167
224000 -274.398 299.308 261.649 271.138 279.244 286.602 294.55 303.199 307.041 313.71 325.462 336.586
225000 -277.528 301.723 261.408 271.388 277.505 287.012 294.105 303.22 308.517 312.064 326.829 335.194
226000 -276.197 302.386 260.985 271.592 276.817 286.562 294.18 304.825 306.781 314.158 325.235 336.464
227000 -277.921 302.72 262.148 270.537 275.586 287.466 293.223 305.714 307.43 314.717 324.246 336.956
228000 -278.858 304.638 262.006 270.514 274.968 288.19 292.736 305.837 306.777 316.228 323.633 335.961
229000 -279.691 305.909 262.757 268.469 274.959 289.051 292.49 306.526 307.268 316.057 322.82 335.75
230000 -280.521 308.786 262.778 267.099 276.201 287.92 292.596 306.279 308.016 316.697 321.767 336.344
231000 -282.956 309.375 262.488 267.063 275.966 288.808 291.85 305.913 308.9 316.184 323.227 335.736
232000 -282.787 310.043 261.728 268.149 274.651 288.127 293.08 304.406 310.269 315.481 322.529 336.658
233000 -283.77 312.448 261.938 267.743 274.068 287.847 292.928 305.007 311.148 314.859 321.72 337.914
234000 -282.775 313.872 262.019 266.719 274.53 288.615 290.096 306.145 311.188 315.56 319.692 338.532
235000 -284.674 314.922 260.918 266.817 274.681 288.242 291.331 305.526 309.382 317.108 318.487 338.501
236000 -283.748 317.793 259.785 266.717 276.08 287.302 292.869 305.982 308.011 317.612 319.991 336.455
237000 -284.148 317.325 260.339 267.223 276.307 286.706 292.753 305.291 308.106 318.484 318.74 336.421
238000 -284.42 318.42 260.475 266.246 277.47 286.246 291.133 306.537 307.907 318.967 316.783 337.686
239000 -285.334 318.476 261.105 266.271 277.193 286.24 291.304 306.04 307.782 319.321 318.018 336.9
240000 -285.702 319.873 259.363 266.819 278.046 284.48 291.417 306.918 308.703 318.384 320.042 334.189
241000 -286.266 320.981 259.201 268.339 277.183 284.286 291.711 306.893 309.245 318.487 318.742 334.442
242000 -287.006 323.546 258.872 268.271 279.014 282.223 293.239 305.659 310.778 319.021 317.577 332.439
243000 -288.179 324.152 257.304 269.094 279.757 281.284 294.141 305.113 310.768 318.082 318.078 332.096
244000 -291.026 326.275 256.237 269.151 279.449 282.704 293.017 304.833 311.466 317.85 317.075 335.021
245000 -292.731 327.8 255.815 269.415 278.953 282.976 291.555 304.056 313.473 316.883 316.102 336.099
246000 -293.662 328.811 256.469 268.292 279.4 283.118 291.435 302.797 314.346 316.19 317.725 336.085
247000 -292.093 330.064 256.59 269.596 277.563 283.761 292.392 301.592 313.639 316.23 318.537 335.69
248000 -291.276 330.204 257.32 269.959 276.149 284.449 291.999 301.297 314.333 315.457 318.649 334.51
249000 -292.5 330.491 258.677 269.924 275.313 285.591 290.504 301.664 314.125 315.101 319.21 334.151
250000 -291.253 332.51 258.132 270.486 275.295 284.934 290.391 301.069 315.466 314.657 320.579 331.332
251000 -294.011 333.44 258.792 270.38 276.38 283.94 291.724 300.431 314.997 314.162 322.288 329.717
252000 -295.126 333.759 259.444 270.092 276.705 284.156 292.103 300.612 312.867 314.672 323.499 329.57
253000 -295.263 333.472 260.173 270.983 276.114 284.087 290.805 301.364 310.643 316.967 322.527 330.233
254000 -294.804 333.41 261.676 270.534 277.862 282.898 290.604 300.609 309.708 316.639 322.392 330.296
255000 -296.856 333.296 263.489 268.836 278.371 284.048 290.264 300.985 309.298 315.415 322.894 331.758
256000 -299.035 332.798 264.332 269.316 278.202 284.668 288.614 301.627 308.334 315.885 323.222 333.054
257000 -299.425 335.618 263.6 269.92 278.76 284.272 289.377 301.513 309.435 313.56 323.537 333.021
